# orbital-overhaul telemetry v2
# build=1.0.0.38
# overrides=ON
# telemetryInterval=15
# rows=53
# source=this run
# levers=telemetryCapture=1
t,level,score,hp,speed,rapidLeft,tripleLeft,magnetLeft,engineLeft,guardLeft,scoopLevel,rapidPicked,triplePicked,healthPicked,magnetPicked,enginePicked,scoopPicked,guardPicked,dmgDebris3,dmgDebris2,dmgDebris1,dmgHunter3,dmgHunter2,dmgHunter1,dmgUfoBodyLarge,dmgUfoBodySmall,dmgUfoShotLarge,dmgUfoShotSmall,chainLen,cargoMax,delivered,deliveryScore,cargoDamageEvents,debrisKills,hunterKills,saucerKills,hunterCoalesced,deflects,hitsTaken,scoreRepairBonus,scoreScoopBonus,debugRun,resumedRun
240.00439999997232,3,27240,100,185.89853167741342,5,17,0,0,0,2,6,4,4,1,0,3,1,0,35,60,0,45,120,0,0,0,15,2,8,77,9350,5,71,45,7,7,1,10,0,0,false,false
255.00389999996935,3,31315,175,134.69283335642064,0,6,0,0,0,2,6,4,6,1,0,3,1,0,35,60,0,45,120,0,0,0,15,0,8,83,10025,6,72,60,7,8,1,10,0,0,false,false
270.00339999995,3,33615,155,112.47999688405095,0,0,0,7.357700000000033,0,2,6,4,6,1,1,3,1,0,35,80,0,45,120,0,0,0,15,3,8,89,10575,7,74,66,8,9,1,11,0,0,false,false
285.0029999999296,3,35865,155,410.84782223297594,0,0,0,1.3034999999997723,0,2,6,4,6,1,1,3,1,0,35,80,0,45,120,0,0,0,15,8,8,92,10875,7,75,74,8,10,1,11,0,0,false,false
300.00249999990893,3,38565,140,276.7799604795477,0,0,0,0,0,1,6,4,6,1,1,3,1,0,35,80,0,45,120,0,0,15,15,1,8,92,10875,7,77,86,8,10,1,12,0,0,false,false
315.0019999998889,3,39290,140,196.07773762160946,0,0,0,0,0,1,6,4,6,1,1,3,1,0,35,80,0,45,120,0,0,15,15,6,8,99,11500,7,78,86,8,10,1,12,0,0,false,false
330.001499999868,3,40390,190,163.752785792255,0,0,30,0,0,1,6,4,7,2,1,3,1,0,35,80,0,45,120,0,0,15,15,8,8,107,12600,7,78,86,8,10,1,12,0,0,false,false
345.0010999998477,3,40390,215,217.17514922123846,0,0,25,0,0,1,6,4,8,2,1,3,1,0,35,80,0,45,120,0,0,15,15,8,8,107,12600,8,78,86,8,10,1,12,0,0,false,false
360.0006999998276,3,43840,215,62.6486315302536,0,19,17,0,0,1,6,5,8,2,1,3,1,0,35,80,0,45,120,0,0,15,15,8,8,115,13700,0,78,97,8,11,1,12,0,0,false,false
375.0001999998068,3,47540,240,183.8436852617723,40,3,8,0,0,1,7,5,9,2,1,3,1,0,35,80,0,45,120,0,0,15,15,8,8,115,13700,2,78,111,9,11,1,12,0,0,false,false
390.0057999997861,4,49840,250,173.33077581346743,37,0,32,4.588100000000538,0,1,7,5,10,3,2,3,1,0,35,80,0,45,120,0,0,15,15,8,8,131,15900,2,79,111,9,12,1,12,0,0,false,false
405.0052999997663,4,54200,250,142.4656169584751,46,0,24,0,0,2,8,5,10,3,2,4,1,0,35,80,0,45,120,0,0,15,15,8,8,139,17000,2,91,111,9,12,1,12,2500,0,false,false
420.00479999974505,4,56670,250,122.80234700771896,70,0,15,0,0,3,9,5,10,3,2,5,1,0,35,80,0,45,120,0,0,15,15,1,8,155,19200,2,95,111,9,12,1,12,2500,0,false,false
435.0042999997251,4,58620,250,103.9324618774337,51,25,40,0,0,3,9,6,10,4,2,5,1,0,35,80,0,45,120,0,0,15,15,8,8,163,20300,3,103,112,9,12,1,12,2500,0,false,false
450.0038999997047,4,65510,250,112.55872737106841,111,5,30,0,2,3,11,6,10,4,2,5,2,0,35,80,0,45,120,0,0,15,15,8,8,171,21400,1,114,123,10,14,1,12,5000,0,false,false
465.00349999968444,4,68860,230,291.6170363764309,97,21,21,0,1,3,11,7,11,4,2,5,2,0,35,100,0,45,120,0,0,15,15,1,8,179,22500,1,114,132,11,14,1,13,5000,0,false,false
480.002999999663,4,72310,245,82.82231011002975,55,0,38,0,0,3,11,7,12,5,2,5,2,0,35,100,0,45,150,0,0,15,15,5,8,179,22500,4,115,146,12,15,1,14,5000,0,false,false
495.0024999996418,4,76660,245,313.9495830195362,34,9,27,0,0,3,11,8,12,5,2,5,2,0,35,100,0,45,150,0,0,15,15,3,8,187,23600,0,115,162,12,18,1,14,5000,0,false,false
510.00209999962044,4,78810,215,318.6922005972314,9,0,7,0,0,3,11,8,12,5,2,5,2,0,35,100,0,45,180,0,0,15,15,7,8,195,24700,2,116,165,13,18,1,15,5000,0,false,false
525.001599999554,4,83960,240,13.475570305062627,0,8,6,0,3,3,11,9,12,5,2,5,3,0,35,100,0,45,180,0,0,15,15,8,8,195,24700,0,117,186,14,18,1,15,5000,0,false,false
540.0010999994806,4,87110,240,122.41224446045563,0,0,38,0,3,3,11,9,12,6,2,5,3,0,35,100,0,45,180,0,0,15,15,8,8,203,25800,0,117,195,14,18,1,15,5000,0,false,false
555.0006999994072,4,89835,135,273.3585375283218,0,0,22,0,3,4,11,9,12,6,2,7,3,0,35,100,60,90,180,0,0,15,15,0,8,218,27775,0,117,198,14,19,1,17,5000,0,false,false
570.0001999993339,4,90935,160,163.31924272773443,0,0,14,0,3,5,11,9,12,6,2,8,3,0,35,100,60,90,180,0,0,15,15,0,8,226,28875,0,117,198,14,20,1,17,5000,0,false,false
585.0057999992606,4,91435,185,283.8740128791919,40,0,6,0,3,5,12,9,13,6,2,9,3,0,35,100,60,90,180,0,0,15,15,8,8,226,28875,0,117,198,14,20,1,17,5000,500,false,false
600.0053999991871,4,94860,155,248.8488812213986,59,0,0,0,1,5,13,9,13,6,2,9,3,0,35,100,60,90,210,0,0,15,15,8,8,241,30850,0,117,205,14,20,1,18,5000,500,false,false
615.0048999991138,4,100310,145,3.626919386856341,30,1,0,0,1,5,13,10,14,6,2,9,3,0,35,100,120,90,210,0,0,15,15,0,8,241,30850,0,117,229,14,21,1,19,5000,500,false,false
630.0044999990406,5,102630,145,99.76027429165403,14,0,0,26.575699999999546,1,5,13,10,14,6,5,9,3,0,35,100,120,90,210,0,0,15,15,1,10,250,32200,0,121,231,15,22,1,19,5000,500,false,false
645.0039999989673,5,104300,35,266.8057950487511,40,0,0,21.38209999999961,0,5,14,10,14,6,5,9,3,50,35,100,180,90,210,0,0,15,15,0,10,257,33150,0,125,233,15,23,1,21,5000,500,false,false
660.003499998894,5,108540,35,66.71595898225681,10,48,0,18.594499999999247,0,5,14,12,14,6,5,9,3,50,35,100,180,90,210,0,0,15,15,0,10,257,33150,3,139,244,16,24,1,21,5000,500,false,false
675.0030999988205,5,114690,40,211.1185987913073,35,29,0,13.188299999999398,0,4,15,12,14,6,5,9,3,50,35,120,180,90,210,0,0,15,15,10,10,257,33150,4,142,270,17,27,1,22,5000,500,false,false
690.0025999987472,5,114790,65,152.93455849391881,32,56,0,7.419199999999532,0,4,15,13,15,6,5,9,3,50,35,120,180,90,210,0,0,15,15,10,10,257,33150,0,143,270,17,27,1,22,5000,500,false,false
705.0020999986739,5,115390,70,94.36967520268304,26,50,0,0,0,4,15,13,16,6,5,9,3,50,35,140,180,90,210,0,0,15,15,1,10,257,33150,3,148,271,17,28,1,23,5000,500,false,false
720.0015999986006,5,115490,95,70.86993478251546,21,75,0,0,3,4,15,14,17,6,5,9,4,50,35,140,180,90,210,0,0,15,15,10,10,257,33150,3,149,271,17,28,1,23,5000,500,false,false
735.0011999985273,5,123710,120,103.2273405707248,0,40,0,0,0,4,15,14,17,6,5,9,4,50,35,140,180,90,210,0,0,15,15,10,10,257,33150,0,154,304,18,28,1,23,5000,500,false,false
750.000699998454,5,125960,145,162.846420628629,0,25,0,0,5,4,15,14,18,6,5,9,6,50,35,140,180,90,210,0,0,15,15,10,10,257,33150,0,157,313,18,31,1,23,5000,500,false,false
765.0002999983806,5,130535,135,257.007770998531,12,0,0,0,5,4,16,14,18,6,5,9,6,50,70,140,180,90,210,0,0,15,15,3,10,267,34775,0,157,326,18,31,1,24,5000,500,false,false
780.0058999983073,5,132885,10,183.4511948379043,0,0,39,0,4,4,16,14,18,7,5,10,6,50,70,160,180,135,270,0,0,15,15,2,10,268,34825,0,157,336,19,33,5,28,5000,500,false,false
795.005399998234,5,133185,35,193.62183017372612,0,0,31,0,4,4,16,14,19,7,5,10,6,50,70,160,180,135,270,0,0,15,15,10,10,268,34825,0,158,337,19,34,5,28,5000,500,false,false
